student_id,name,class,comprehension,attention,focus,retention,assessment_score,engagement_time
STU0001,Casey Smith,Grade 9,78.2,86.7,100.0,93.2,99.9,53.9
STU0002,Sam Brown,Grade 9,73.5,96.2,85.5,73.2,83.8,43.4
STU0003,Quinn Williams,Grade 9,90.8,98.7,98.6,92.2,96.4,57.8
STU0004,Casey Hernandez,Grade 9,100.0,98.4,97.0,95.7,93.1,64.1
STU0005,James Johnson,Grade 9,57.5,82.4,87.3,62.4,72.9,49.8
STU0006,Isabella Miller,Grade 9,57.5,96.9,96.8,73.3,82.2,56.3
STU0007,Jordan Smith,Grade 9,95.0,100.0,92.8,97.4,100.0,43.0
STU0008,Taylor Brown,Grade 9,88.6,100.0,88.6,81.0,91.8,42.1
STU0009,Quinn Rodriguez,Grade 9,66.5,99.0,77.7,84.0,85.4,28.5
STU0010,Benjamin Smith,Grade 9,99.5,99.5,100.0,94.7,95.2,82.2
STU0011,James Brown,Grade 9,70.3,99.4,99.0,75.9,88.1,37.3
STU0012,James Miller,Grade 9,73.2,83.9,89.3,73.9,81.6,39.0
STU0013,Quinn Davis,Grade 9,82.2,90.3,96.8,96.3,100.0,40.4
STU0014,Isabella Jones,Grade 9,50.8,97.7,88.9,62.4,65.9,64.8
STU0015,Alex Gonzalez,Grade 9,40.3,82.7,99.5,74.9,78.8,47.5
STU0016,Riley Lopez,Grade 9,69.5,94.8,90.2,65.1,77.5,69.4
STU0017,Noah Garcia,Grade 9,48.7,100.0,95.7,70.8,71.8,45.9
STU0018,Sam Williams,Grade 9,73.3,98.5,98.6,86.8,86.6,60.2
STU0019,Avery Gonzalez,Grade 9,55.6,99.1,99.6,73.5,80.0,43.5
STU0020,Emma Johnson,Grade 9,50.5,87.7,88.6,71.9,74.0,81.7
STU0021,Taylor Miller,Grade 9,100.0,100.0,91.8,92.8,98.1,35.7
STU0022,Casey Garcia,Grade 9,53.8,97.1,100.0,82.9,76.0,60.6
STU0023,Liam Martinez,Grade 9,75.8,100.0,99.6,100.0,94.3,65.5
STU0024,Sam Gonzalez,Grade 9,34.0,85.4,98.7,55.9,75.9,59.0
STU0025,Jordan Lopez,Grade 9,56.0,100.0,100.0,65.3,85.8,52.8
STU0026,Ava Rodriguez,Grade 9,76.5,100.0,95.8,98.2,97.2,52.4
STU0027,Casey Anderson,Grade 9,57.3,74.8,68.5,76.5,70.1,41.4
